Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
"enhancedClick(findTestObject(""Admin/Verificacion/button_ConfirmarSubidaImagen_3""))",Chrome 94.0.4606.81,,,2021-10-18 17:05:43,2021-10-18 17:05:43,"0,345s",PASSED
"enhancedClick(findTestObject(""Admin/Verificacion/input_ConfirmarImagen_3""))",Chrome 94.0.4606.81,,,2021-10-18 17:05:43,2021-10-18 17:05:44,"1,340s",PASSED
"setText(findTestObject(""Admin/Verificacion/input_NumeroSerieCI""), ""123456"")",Chrome 94.0.4606.81,,,2021-10-18 17:05:44,2021-10-18 17:05:45,"1,108s",PASSED
"enhancedClick(findTestObject(""Admin/Verificacion/button_Obtener""))",Chrome 94.0.4606.81,,,2021-10-18 17:05:45,2021-10-18 17:05:46,"0,360s",PASSED
"waitForPageLoad(0, STOP_ON_FAILURE)",Chrome 94.0.4606.81,,,2021-10-18 17:05:46,2021-10-18 17:05:46,"0,045s",PASSED
closeWindowIndex(0),Chrome 94.0.4606.81,,,2021-10-18 17:05:46,2021-10-18 17:05:46,"0,070s",PASSED
"sendKeys(findTestObject(""Admin/Verificacion/button_Obtener""), Keys.chord(TAB, ""14021970""))",Chrome 94.0.4606.81,,,2021-10-18 17:05:46,2021-10-18 17:05:46,"0,105s",FAILED
,,,,,,,
Test Cases/Admin/Desembolso,Chrome 94.0.4606.81,,,2021-10-18 17:05:46,2021-10-18 17:05:46,"0,343s",FAILED
"waitForElementVisible(findTestObject(""Admin/Desembolso/p_DESEMBOLSO""), 0)",Chrome 94.0.4606.81,,,2021-10-18 17:05:46,2021-10-18 17:05:46,"0,065s",FAILED
